"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","subject","view_history","responses","stimulus","key_press","stim_type"
"195","","html-keyboard-response","179","552141","0.0-4.0-2.60-1.60","MT-AIXTI8PKSX1D2","","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82",""
"null","","audio-keyboard-response","180","552396","0.0-4.0-2.61-0.61","MT-AIXTI8PKSX1D2","","","snd/no.wav","null",""
"110","","html-keyboard-response","181","552506","0.0-4.0-2.61-1.61","MT-AIXTI8PKSX1D2","","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82",""
"null","","audio-keyboard-response","182","552759","0.0-4.0-2.62-0.62","MT-AIXTI8PKSX1D2","","","snd/no.wav","null",""
"377","","html-keyboard-response","183","553136","0.0-4.0-2.62-1.62","MT-AIXTI8PKSX1D2","","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82",""
"null","","audio-keyboard-response","184","553386","0.0-4.0-2.63-0.63","MT-AIXTI8PKSX1D2","","","snd/no.wav","null",""
"344","","html-keyboard-response","185","553730","0.0-4.0-2.63-1.63","MT-AIXTI8PKSX1D2","","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","32",""
"10008","","survey-text","186","563748","0.0-4.0-3.13","MT-AIXTI8PKSX1D2","","{""Q0"":""none""}","","",""
"1328","","audio-keyboard-response","187","565085","0.0-4.0-4.13","MT-AIXTI8PKSX1D2","","","snd/no.wav","53","typicality"
"null","","html-keyboard-response","188","566176","0.0-4.0-0.14","MT-AIXTI8PKSX1D2","","","<p>next syllable</p>","null",""
"null","","audio-keyboard-response","189","566421","0.0-4.0-1.14","MT-AIXTI8PKSX1D2","","","snd/ni.wav","null",""
"null","","audio-keyboard-response","190","567173","0.0-4.0-2.64-0.64","MT-AIXTI8PKSX1D2","","","snd/ni.wav","null",""
"1891","","html-keyboard-response","191","569064","0.0-4.0-2.64-1.64","MT-AIXTI8PKSX1D2","","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","32",""
