"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","subject","view_history","responses","stimulus","key_press","stim_type"
"1561","","html-keyboard-response","143","375121","0.0-4.0-2.50-1.50","MT-A16PLYF8XISLFX","","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82",""
"null","","audio-keyboard-response","144","375382","0.0-4.0-2.51-0.51","MT-A16PLYF8XISLFX","","","snd/to.wav","null",""
"675","","html-keyboard-response","145","376057","0.0-4.0-2.51-1.51","MT-A16PLYF8XISLFX","","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82",""
"null","","audio-keyboard-response","146","376300","0.0-4.0-2.52-0.52","MT-A16PLYF8XISLFX","","","snd/to.wav","null",""
"511","","html-keyboard-response","147","376811","0.0-4.0-2.52-1.52","MT-A16PLYF8XISLFX","","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82",""
"null","","audio-keyboard-response","148","377060","0.0-4.0-2.53-0.53","MT-A16PLYF8XISLFX","","","snd/to.wav","null",""
"910","","html-keyboard-response","149","377970","0.0-4.0-2.53-1.53","MT-A16PLYF8XISLFX","","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82",""
"null","","audio-keyboard-response","150","378220","0.0-4.0-2.54-0.54","MT-A16PLYF8XISLFX","","","snd/to.wav","null",""
"690","","html-keyboard-response","151","378910","0.0-4.0-2.54-1.54","MT-A16PLYF8XISLFX","","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82",""
"null","","audio-keyboard-response","152","379159","0.0-4.0-2.55-0.55","MT-A16PLYF8XISLFX","","","snd/to.wav","null",""
"3782","","html-keyboard-response","153","382943","0.0-4.0-2.55-1.55","MT-A16PLYF8XISLFX","","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82",""
"null","","audio-keyboard-response","154","383189","0.0-4.0-2.56-0.56","MT-A16PLYF8XISLFX","","","snd/to.wav","null",""
"916","","html-keyboard-response","155","384105","0.0-4.0-2.56-1.56","MT-A16PLYF8XISLFX","","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82",""
"null","","audio-keyboard-response","156","384350","0.0-4.0-2.57-0.57","MT-A16PLYF8XISLFX","","","snd/to.wav","null",""
"2183","","html-keyboard-response","157","386533","0.0-4.0-2.57-1.57","MT-A16PLYF8XISLFX","","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","32",""
"4648","","survey-text","158","391183","0.0-4.0-3.9","MT-A16PLYF8XISLFX","","{""Q0"":""o""}","","",""
"2611","","audio-keyboard-response","159","393794","0.0-4.0-4.9","MT-A16PLYF8XISLFX","","","snd/to.wav","51","typicality"
"null","","html-keyboard-response","160","394796","0.0-4.0-0.10","MT-A16PLYF8XISLFX","","","<p>next syllable</p>","null",""
"null","","audio-keyboard-response","161","395040","0.0-4.0-1.10","MT-A16PLYF8XISLFX","","","snd/pa2_0.wav","null",""
"null","","audio-keyboard-response","162","395800","0.0-4.0-2.58-0.58","MT-A16PLYF8XISLFX","","","snd/pa2_0.wav","null",""
"2076","","html-keyboard-response","163","397876","0.0-4.0-2.58-1.58","MT-A16PLYF8XISLFX","","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82",""
"null","","audio-keyboard-response","164","398120","0.0-4.0-2.59-0.59","MT-A16PLYF8XISLFX","","","snd/pa2_0.wav","null",""
"754","","html-keyboard-response","165","398874","0.0-4.0-2.59-1.59","MT-A16PLYF8XISLFX","","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82",""
"null","","audio-keyboard-response","166","399119","0.0-4.0-2.60-0.60","MT-A16PLYF8XISLFX","","","snd/pa2_0.wav","null",""
"404","","html-keyboard-response","167","399524","0.0-4.0-2.60-1.60","MT-A16PLYF8XISLFX","","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82",""
"null","","audio-keyboard-response","168","399780","0.0-4.0-2.61-0.61","MT-A16PLYF8XISLFX","","","snd/pa2_0.wav","null",""
"381","","html-keyboard-response","169","400161","0.0-4.0-2.61-1.61","MT-A16PLYF8XISLFX","","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82",""
"null","","audio-keyboard-response","170","400419","0.0-4.0-2.62-0.62","MT-A16PLYF8XISLFX","","","snd/pa2_0.wav","null",""
"335","","html-keyboard-response","171","400756","0.0-4.0-2.62-1.62","MT-A16PLYF8XISLFX","","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82",""
"null","","audio-keyboard-response","172","401000","0.0-4.0-2.63-0.63","MT-A16PLYF8XISLFX","","","snd/pa2_0.wav","null",""
"1941","","html-keyboard-response","173","402942","0.0-4.0-2.63-1.63","MT-A16PLYF8XISLFX","","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82",""
"null","","audio-keyboard-response","174","403190","0.0-4.0-2.64-0.64","MT-A16PLYF8XISLFX","","","snd/pa2_0.wav","null",""
"596","","html-keyboard-response","175","403787","0.0-4.0-2.64-1.64","MT-A16PLYF8XISLFX","","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82",""
"null","","audio-keyboard-response","176","404030","0.0-4.0-2.65-0.65","MT-A16PLYF8XISLFX","","","snd/pa2_0.wav","null",""
