"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","subject","view_history","responses","stimulus","key_press","stim_type"
"null","","audio-keyboard-response","52","295979","0.0-4.0-2.19-0.19","MT-AT6OT5K5Z4V0J","","","snd/to.wav","null",""
"354","","html-keyboard-response","53","296333","0.0-4.0-2.19-1.19","MT-AT6OT5K5Z4V0J","","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82",""
"null","","audio-keyboard-response","54","296578","0.0-4.0-2.20-0.20","MT-AT6OT5K5Z4V0J","","","snd/to.wav","null",""
"2328","","html-keyboard-response","55","298906","0.0-4.0-2.20-1.20","MT-AT6OT5K5Z4V0J","","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","32",""
"53418","","survey-text","56","352325","0.0-4.0-3.2","MT-AT6OT5K5Z4V0J","","{""Q0"":""tow""}","","",""
"4501","","audio-keyboard-response","57","358273","0.0-4.0-4.2","MT-AT6OT5K5Z4V0J","","","snd/to.wav","51","typicality"
"null","","html-keyboard-response","58","359276","0.0-4.0-0.3","MT-AT6OT5K5Z4V0J","","","<p>next syllable</p>","null",""
"null","","audio-keyboard-response","59","359525","0.0-4.0-1.3","MT-AT6OT5K5Z4V0J","","","snd/pu3_1.wav","null",""
"null","","audio-keyboard-response","60","360286","0.0-4.0-2.21-0.21","MT-AT6OT5K5Z4V0J","","","snd/pu3_1.wav","null",""
"2165","","html-keyboard-response","61","362452","0.0-4.0-2.21-1.21","MT-AT6OT5K5Z4V0J","","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82",""
"null","","audio-keyboard-response","62","362694","0.0-4.0-2.22-0.22","MT-AT6OT5K5Z4V0J","","","snd/pu3_1.wav","null",""
"864","","html-keyboard-response","63","363559","0.0-4.0-2.22-1.22","MT-AT6OT5K5Z4V0J","","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82",""
"null","","audio-keyboard-response","64","363806","0.0-4.0-2.23-0.23","MT-AT6OT5K5Z4V0J","","","snd/pu3_1.wav","null",""
"249","","html-keyboard-response","65","364056","0.0-4.0-2.23-1.23","MT-AT6OT5K5Z4V0J","","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82",""
"null","","audio-keyboard-response","66","364305","0.0-4.0-2.24-0.24","MT-AT6OT5K5Z4V0J","","","snd/pu3_1.wav","null",""
"71","","html-keyboard-response","67","364377","0.0-4.0-2.24-1.24","MT-AT6OT5K5Z4V0J","","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82",""
"null","","audio-keyboard-response","68","364624","0.0-4.0-2.25-0.25","MT-AT6OT5K5Z4V0J","","","snd/pu3_1.wav","null",""
"16","","html-keyboard-response","69","364643","0.0-4.0-2.25-1.25","MT-AT6OT5K5Z4V0J","","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82",""
"null","","audio-keyboard-response","70","364885","0.0-4.0-2.26-0.26","MT-AT6OT5K5Z4V0J","","","snd/pu3_1.wav","null",""
"198","","html-keyboard-response","71","365083","0.0-4.0-2.26-1.26","MT-AT6OT5K5Z4V0J","","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82",""
"null","","audio-keyboard-response","72","365325","0.0-4.0-2.27-0.27","MT-AT6OT5K5Z4V0J","","","snd/pu3_1.wav","null",""
"120","","html-keyboard-response","73","365445","0.0-4.0-2.27-1.27","MT-AT6OT5K5Z4V0J","","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82",""
"null","","audio-keyboard-response","74","365694","0.0-4.0-2.28-0.28","MT-AT6OT5K5Z4V0J","","","snd/pu3_1.wav","null",""
"3712","","html-keyboard-response","75","369407","0.0-4.0-2.28-1.28","MT-AT6OT5K5Z4V0J","","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","32",""
"5829","","survey-text","76","375238","0.0-4.0-3.3","MT-AT6OT5K5Z4V0J","","{""Q0"":""ooh""}","","",""
"3592","","audio-keyboard-response","77","378831","0.0-4.0-4.3","MT-AT6OT5K5Z4V0J","","","snd/pu3_1.wav","52","typicality"
