id,age_months,gender,trial,fam_condition,fam_trial_audio,fam_version,test_trial,test_trial_audio,test_trial_audio_length_ms,test_trial_type,test_version,trial_end_method,looking_time,mean_LT_congruent_trials,sd_LT_congruent_trials,mean_LT_incongruent_trials,sd_LT_congruent_trials,notes_fam,notes_test
MB3_18,8,female,5,ABB,NA,NA,test_3,test_stream_lonilo.wav,15960.5,ABA_1,1_ABB_congruent_first_trial,trial_recycled_look_away_from_screen,8086,,,,,,
MB3_18,8,female,6,ABB,NA,NA,test_5,test_stream_lonini.wav,15954.2,ABB_1,1_ABB_congruent_first_trial,trial_recycled_look_away_from_screen,10138,,,,,,
MB3_18,8,female,7,ABB,NA,NA,test_6,test_stream_lonilo.wav,15960.5,ABA_1,1_ABB_congruent_first_trial,trial_time_out,9750,,,,,,
MB3_18,8,female,8,ABB,NA,NA,test_8,test_stream_tisoti.wav,15538.4,ABA_2,1_ABB_congruent_first_trial,trial_recycled_look_away_from_screen,3608,,,,,,
MB3_18,8,female,9,ABB,NA,NA,test_7,test_stream_tisoso.wav,15744.2,ABB_2,1_ABB_congruent_first_trial,trial_recycled_look_away_from_screen,2964,,,,,,
MB3_18,8,female,10,ABB,NA,NA,test_10,test_stream_lonilo.wav,15960.5,ABA_1,1_ABB_congruent_first_trial,trial_recycled_look_away_from_screen,1414,,,,,,
MB3_18,8,female,11,ABB,NA,NA,test_11,test_stream_tisoti.wav,15538.4,ABA_2,1_ABB_congruent_first_trial,trial_recycled_look_away_from_screen,3240,,,,,,
MB3_18,8,female,12,ABB,NA,NA,test_9,test_stream_lonini.wav,15954.2,ABB_1,1_ABB_congruent_first_trial,trial_recycled_look_away_from_screen,5786,,,,,,
MB3_18,8,female,13,ABB,NA,NA,test_12,test_stream_tisoso.wav,15744.2,ABB_2,1_ABB_congruent_first_trial,trial_recycled_look_away_from_screen,9326,,,,,,
MB3_19,8,female,1,ABA,fam_aba_7.wav,16_ABA,NA,NA,NA,NA,NA,trial_time_out,19116,3768.0,1382.9,2878.3,1478.7,"cried during fam, ","cried during test. Cried in waiting room, just cried a lot"
MB3_19,8,female,2,ABA,NA,NA,test_1,test_stream_lonini.wav,15954.2,ABB_1,4_ABA_incongruent_first_trial,trial_recycled_look_away_from_screen,2746,,,,,,
MB3_19,8,female,3,ABA,NA,NA,test_3,test_stream_lonilo.wav,15960.5,ABA_1,4_ABA_incongruent_first_trial,trial_recycled_look_away_from_screen,3240,,,,,,
MB3_19,8,female,4,ABA,NA,NA,test_4,test_stream_tisoti.wav,15538.4,ABA_2,4_ABA_incongruent_first_trial,trial_recycled_look_away_from_screen,6384,,,,,,
MB3_19,8,female,5,ABA,NA,NA,test_2,test_stream_tisoso.wav,15744.2,ABB_2,4_ABA_incongruent_first_trial,trial_recycled_look_away_from_screen,2616,,,,,,
MB3_19,8,female,6,ABA,NA,NA,test_7,test_stream_tisoso.wav,15744.2,ABB_2,4_ABA_incongruent_first_trial,trial_recycled_look_away_from_screen,5766,,,,,,
MB3_19,8,female,7,ABA,NA,NA,test_5,test_stream_lonini.wav,15954.2,ABB_1,4_ABA_incongruent_first_trial,trial_recycled_look_away_from_screen,2516,,,,,,
MB3_19,8,female,8,ABA,NA,NA,test_8,test_stream_tisoti.wav,15538.4,ABA_2,4_ABA_incongruent_first_trial,trial_recycled_look_away_from_screen,3248,,,,,,
MB3_19,8,female,9,ABA,NA,NA,test_6,test_stream_lonilo.wav,15960.5,ABA_1,4_ABA_incongruent_first_trial,trial_recycled_look_away_from_screen,3416,,,,,,
MB3_19,8,female,10,ABA,NA,NA,test_12,test_stream_tisoso.wav,15744.2,ABB_2,4_ABA_incongruent_first_trial,trial_recycled_look_away_from_screen,1582,,,,,,
MB3_19,8,female,11,ABA,NA,NA,test_9,test_stream_lonini.wav,15954.2,ABB_1,4_ABA_incongruent_first_trial,trial_recycled_look_away_from_screen,2044,,,,,,
MB3_19,8,female,12,ABA,NA,NA,test_10,test_stream_lonilo.wav,15960.5,ABA_1,4_ABA_incongruent_first_trial,trial_recycled_look_away_from_screen,2352,,,,,,
MB3_19,8,female,13,ABA,NA,NA,test_11,test_stream_tisoti.wav,15538.4,ABA_2,4_ABA_incongruent_first_trial,trial_recycled_look_away_from_screen,3968,,,,,,
,,,,,,,,,,,,,,4473.1,1537.7,3965.1,1487.4,,
